,Framecount,Expression,Probability,EAR
0,0,angry,0.2004968374967575,60
1,1,disgust,0.02933669276535511,8
2,2,scared,0.12870965898036957,38
3,3,happy,0.3729917109012604,111
4,4,sad,0.1954452097415924,58
5,5,surprised,0.007036724127829075,2
6,6,neutral,0.06598321348428726,19
7,0,angry,0.028248880058526993,8
8,1,disgust,1.2282413990760688e-05,0
9,2,scared,0.11410852521657944,34
10,3,happy,0.672534167766571,201
11,4,sad,0.10239021480083466,30
12,5,surprised,0.05051977187395096,15
13,6,neutral,0.03218616545200348,9
14,0,angry,0.04528225585818291,13
15,1,disgust,0.00043669893057085574,0
16,2,scared,0.2206745594739914,66
17,3,happy,0.338998407125473,101
18,4,sad,0.2657320499420166,79
19,5,surprised,0.05457763001322746,16
20,6,neutral,0.0742984190583229,22
21,0,angry,0.028977692127227783,8
22,1,disgust,0.0006675864569842815,0
23,2,scared,0.11424395442008972,34
24,3,happy,0.6704605221748352,201
25,4,sad,0.12095960229635239,36
26,5,surprised,0.013222486712038517,3
27,6,neutral,0.051468152552843094,15
